Category,SubCategory,Name,Price,SKU,Weight,Options,Description,ImageUrls,ImageNames,Url
PPE,Structure Clothing,JR. Firefighter Kids Turnouts,$65.00,KIDFIRE,3.00 LBS,,JR. Firefighter Kids Turnouts JR. Firefighter Kids Turnouts and Helmet. These suits are loaded with all of the details of that worn by the pros.Fabric collarZipper & Velcro closure on jacketReal reflective stripe Right hip pocket of jacketGussestted pockets on both legsHELMET NOT INCLUDED,"https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/583/1330/jrff__56727.1436296760.jpg?c=2, ","b0edf3b4-48cf-4cb4-b8c3-30d7c6e51a15.png, ",https://www.fire-etc.com/JR-Firefighter-Kids-Turnouts-and-Helmet/
PPE,Structure Clothing,UK HangAir Drying System,$59.00,18342,3.00 LBS,,"UK HangAir Drying SystemThe UK HangAir Drying System uses a high-power waterproof fan to completely dry and ventilate suits of all kinds in mere hours. By maintaining equipment with the HangAir Drying System you can enjoy the comfort of a freshly dried suit before every excursion, ensure that your suit is blown clean and dry from the inside before storage, eliminate bad odors, and add years to the life of your equipment. The UK HangAir is molded from incredibly tough plastic resin and sports a steel hook which will comfortably support up to 100 pounds. Safe, low voltage power is supplied to the hanger fan through a tough 15 foot cord attached to a universal power 100/240 VAC wall adapter.Dries wetsuits, dry suits, turnout gear, rainsuits and heavy protective clothing in hours instead of daysHigh power waterproof fan pushes 120 cubic feet of air per minuteQuick drying process retards the development of bad odorsSafe low voltage power is supplied to the hanger fan through a 15 ft cord from a 100/240 VAC universal wall mounted adapterWide shoulder construction prevents damaging creases in fabricSuper strong nylon body with stainless steel hook supports 100 lbsLimited Lifetime Warranty","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/581/1928/UK_Hang_Air__55417.1654124092.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/581/1929/UK_Hang_air_side__97675.1654124096.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/581/1930/UK_Hang_air_with_fan__41111.1654124098.jpg?c=2, ","c8a4cf0c-31e5-4df2-bb8a-dee77759b663.png, 08c759b4-d75d-48be-bfec-119cc47e17df.png, 196ef5a7-1a60-46d1-8512-64945f6a1899.png, ",https://www.fire-etc.com/UkHangAirDryingSystem/
PPE,Structure Clothing,Fire-Dex CarbonX Double Layer Hood,$68.00,16116,1.00 LBS,,"Fire-Dex CarbonX Double Layer HoodFire-Dex hoods feature a unique elastic enclosure for easier donning and doffing and a tighter seal around SCBA masks. Flatlock seam construction provides greater comfort and longevity. Fire-Dex Fire Hoods are compliant to NFPA 1971, current edition, unless otherwise noted.7.5 oz. Rib Kit CarbonXLong seamless bib with shoulder notchesTrueFit elasticTTP as Received(20.0 min.) 29.9Char length warp x fill in inches (<4 seconds .4x1.1After Flame in seconds (<2 seconds) 0 x 0Seam Burst Strength 41 lbs. min 329.3 lbs.Compliant to NFPA 1971, Current Edition","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/580/1426/Fire-Dex-CarbonX-Double-Layer-Hood__36207.1474915647.jpg?c=2, ","3f4bdba5-71e0-4be2-84e1-fc9a36874e44.png, ",https://www.fire-etc.com/fire-dex-carbonx-double-layer-hood/
PPE,Structure Clothing,Gear Keeper Retractable Mic Keeper,$16.95,16046,1.00 LBS,,"Gear Keeper Retractable Mic KeeperGear Keeper Retractable Mic Keeper is a lapel mic to securely attach to your Turnout Coat or Pack Strap. Allows Mic to be securely extended for talking/listening, without the Mic being dislodged / dropped or the need to re-clip after use. Mount Gear Keeper on Turnout Coat (mic tab or radio pocket) or Air Pack Harness. Stainless Steel threaded Pin (stud) penetrates Mic Tab, Radio Pocket, or Webbing Harness, threads into back of Gear Keeper. Typically Gear Keeper stays attached except for washing of garment but may be removed at any time. Attach Mic to Gear Keeper lanyard when in route to call. Mic will stay securely attached to Mic Keeper.Nylon Coated Stainless Steel CableStainless Steel Spring and Hardware60 lbs. Breaking Strength400 degree F, V-2 Flame RatingNylon/Elastic Mic Lanyard","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/80/266/16046_full__22424.1376513775.jpg?c=2, ","fbf679fb-17de-4afb-b1c3-5ca944b4bf16.png, ",https://www.fire-etc.com/16046/
PPE,Wildland Clothing,Workrite Dual Certified Nomex IIIA Wildfire Tactical Pant,$199.00,FP62MN,2.00 LBS,"*Size: 28/28, 28/30, 28/32, 28/34, 28/36, 30/28, 30/30, 30/32, 30/34, 30/36, 32/28, 32/30, 32/32, 32/34, 32/36, 34/28, 34/30, 34/32, 34/34, 34/36, 36/28, 36/30, 36/32, 36/34, 36/36, 38/28, 38/30, 38/32, 38/34, 38/36, 40/28, 40/30, 40/32, 40/34, 40/36, 42/28, 42/30, 42/32, 42/34, 42/36, 44/28, 44/30, 44/32, 44/34, 44/36, 46/28, 46/30, 46/32, 46/34, 46/36, 48/28, 48/30, 48/32, 48/34, 48/36, 50/28, 50/30, 50/32, 50/34, 50/36, 52/28, 52/30, 52/32, 52/34, 52/36, 54/28, 54/30, 54/32, 54/34, 54/36, 56/28, 56/30, 56/32, 56/34, 56/36, 58/28, 58/30, 58/32, 58/34, 58/36,","Workrite Dual Certified Nomex IIIA Wildfire Tactical PantWORKRITE DUAL CERTIFIED NOMEX IIIA WILDFIRE TACTICAL PANTDual certified to NFPA 1975 and 1977 Wildland, these pants are perfect for the station or on the fireline. Tactical-inspired design delivers the functional storage you need, including two deep, pleated cargo pockets, two front slash pockets and two back welt pockets. Built with a contoured waistband for enhanced comfort, and triple felled seams for durability. Ankle straps allow tightening around boots for a close fit that keeps out debris.PRODUCT SPECSNFPA 1975, NFPA 1977, ASTM F1506 and CAL-OSHA , GISO, Title 8    93% Nomex® IIIA, 5% Kevlar® aramid, 2% antistatic fiberTwo front slash pocketsTwo back welt pocketsTwo deep, pleated cargo pockets with hook and loop closures            Pleated articulated kneesContoured waistbandTriple felled seamsAnkle straps to tighten around boots","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/945/1957/FP62MN1__67992.1662154973.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/945/1958/fp62mn2__24524.1662154975.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/945/1959/fp62mn3__70310.1662154978.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/945/1960/fp62mn4__57201.1662154980.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/945/1961/fp62mn5__08022.1662154982.jpg?c=2, ","b19aa298-1106-4c06-bdaf-ab613aa4725b.png, 8d41a7bc-85bb-4482-8523-66268283f000.png, a5b6613f-4024-454e-84d0-9b1bdbe37ea8.png, 130acff1-a88b-4b08-b34a-70923bedc2fb.png, 404381c2-2073-4e9e-a451-8af3e68d7316.png, ",https://www.fire-etc.com/workrite-dual-certified-nomex-iiia-wildfire-tactical-pant/
PPE,Wildland Clothing,USFS 5-Ply Para-Aramid Chain Saw Chaps,$204.00,Orangechaps,2.00 LBS,"*Size: 32 Inch, 36 Inch, 40 Inch,","USFS 5-Ply Para-Aramid Chain Saw ChapsUL classified to NFPA 1977-Current Edition for Protective Clothing and Equipment for Wildland Firefighting and built in accordance with U.S. Department of Agriculture Forestry Specification 6170-4G. Designed to clog a running chain saw upon contact to give the user substantially more reaction time in the event of an accident, PGI chaps feature 5 layers of Para-Aramid synthetic fiber - 3 woven and 2 felt - plus a 1000 denier nylon shell that resists water, mildew, oil and moisture. The Para-Aramid plies extend upward from the bottom of the leg to the waist band. Features a multiple compartment tool pocket on the left side attached to the waist belt, a 2”W adjustable waist belt, 1”W adjustable leg straps, and quick-release buckles. Chaps fit waist sizes 32” to 46”. Available in 32”, 36” and 40” lengths (measured from top of waist-belt to bottom of chap).","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/887/1718/pgi_orange_chainsaw_chaps__05210.1554311091.jpg?c=2, ","8eec73cb-2af7-448e-a0b5-be33916fe66a.png, ",https://www.fire-etc.com/usfs-5-ply-para-aramid-chain-saw-chaps/
PPE,Wildland Clothing,TecasafeHelmet shroud,$27.00,38255,1.00 LBS,,TecasafeHelmet shroudTecasafe 7ozVelcro ClosureCompatible with all Morning Pride and Bullard wildland helmetsInstalls with 3 velcro closures,"https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/875/1937/Screenshot_2022-06-08_165613__48748.1654732615.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/875/1935/Screenshot_2022-06-08_165529__09805.1654732541.jpg?c=2, ","1c429f62-eb08-4652-83a7-614f00d83563.png, 376532ba-935b-472d-886e-105eccaf2426.png, ",https://www.fire-etc.com/tecasafe-helmet-shroud/
PPE,Wildland Clothing,Hot Shield Case for Face Masks,$18.00,10029,1.00 LBS,,"Hot Shield Case for Face MasksModel: Web CaseThe ergonomically correct carry pouch for your Hot Shield HS-2, UB-V2 or HS-5.Features: Webbing straps on backside have snaps for easy removal from your pack harness straps or belt.Advantages: Accomodates both your face mask and goggles, keeping both clean & ready for immediate use, similar in manner to a breathing apparatus face mask pouch that may be sewn to turnout/bunker coat at chest high level (see photos).Size: 8.5"" wide x 10.5"" long. Oval shape, slightly narrower at the top ( 6.5""). About .5"" thick when empty and flattened, expands to over 5"".Materials: 600 denier Nylon Cordura, with bi-directional zippers. Color: yellowWarranty: One year materials and workmanship. Made in USA","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/800/1364/Hot_Shield_Carrying_Case__79044.1444060451.jpg?c=2, ","7acb8dc9-a549-4a6c-a438-cb38ee4f3aa4.png, ",https://www.fire-etc.com/hot-shield-case-for-face-masks/
PPE,Wildland Clothing,Hot Shield Wlidland Firefighter Face Mask HS-2,$85.00,10027,1.00 LBS,,"Hot Shield Wlidland Firefighter Face Mask HS-2The Hot Shield Model HS-2 Wildland Firefighter Face Mask is a patented (U.S. Patents 5,628,308 and 5,823,188) highly flame resistant face protector designed by firefighters for use in all wildland firefighting operations. The HS-2 offers the extreme protection against burns to the face/neck with the added benefit of blocking and reducing the inhalation of smoke & ash particulate. Multiple layers of patented CarbonX help maintain the crucial airspace firefighters want and human skin needs to survive extreme temperatures. The soft comfortable inside liners (also CarbonX) absorb perspiration, adding to user comfort.No other mask on the market can make these claims!Twin layers of CarbonX mesh at the center ventilation orifice allow for easy air exchange and help prevent buildup of CO2. The patented, user-friendly design allows the firefighter to insert an activated carbon disposable particulate filter with exhalation valve.CarbonX is the only inherently non-flammable fabric in the world. This fabric weave will not burn, ignite, char shrink or decompose at temperatures of up to and exceeding 2000 degrees Farenheit, even for extended periods of time. (See CarbonX FAQ for more info on this revolutionary fabric).The HS-2 weighs just 5.8 oz. / 162.4 grams, incorporates reflective trim for nighttime visibility and can be classified as an interface component of Wildland PPE, according to the NFPA Standard #1977 Wildland Protective Clothing and Equipment, Appendix. Each HS-2 is packaged with 1 filter.","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/799/1363/Hot_Shield_HS2a.jpg__28006.1444059891.JPG?c=2, ","a3a83dfa-d4c4-4fc6-9ea6-3e0b598076fc.png, ",https://www.fire-etc.com/hot-shield-wlidland-firefighter-face-mask-hs-2/
PPE,Wildland Clothing,Mosquito Net Hat,$9.95,16994,1.00 LBS,,Mosquito Net Hat,"https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/596/868/mosnet_full_1890__90427.1378921803.jpg?c=2, ","4d2b51d7-d027-42e6-b377-151c41b4f926.png, ",https://www.fire-etc.com/Mosquito-Net-Hat/
PPE,Wildland Clothing,"Chain Saw Chaps Four-Ply DuPont Kevlar, Green Non Compliant",$145.00,CHAPS,2.00 LBS,"*Size: 32 Inch, 36 Inch, 40 Inch,","Chain Saw Chaps Four-Ply DuPont Kevlar, Green Non CompliantChain Saw Chaps Four-Ply DuPont Kevlar. Four layers of Kevlar protection. Feature four layers of Kevlar® (two woven layers, two felt layers) between two layers of nylon. The Kevlar is pound for pound five times stronger than steel and designed to clog a running chain saw upon contact. The nylon cover resists water, mildew, oil, and abrasions. Two-inch wide adjustable nylon belt, one-inch wide adjustable nylon leg straps, and unbreakable quick-release buckles.  Chaps which offer greater coverage along the left side of each leg. Chain speed protection: 3,000 ft. per minute.PLEASE NOTE: THESE ARE NOT U.S. FOREST SERVICE COMPLIANT","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/475/739/chaps_full_1954__66532.1378752889.jpg?c=2, ","221f8def-a362-4896-9b05-ec55a05c44dc.png, ",https://www.fire-etc.com/Chain-Saw-Chaps-Four-Ply-DuPont-Kevlar-GreenNonCompliant/
PPE,Station Clothing,Workrite Dual Certified Nomex IIIA Wildfire Tactical Pant,$199.00,FP62MN,2.00 LBS,"*Size: 28/28, 28/30, 28/32, 28/34, 28/36, 30/28, 30/30, 30/32, 30/34, 30/36, 32/28, 32/30, 32/32, 32/34, 32/36, 34/28, 34/30, 34/32, 34/34, 34/36, 36/28, 36/30, 36/32, 36/34, 36/36, 38/28, 38/30, 38/32, 38/34, 38/36, 40/28, 40/30, 40/32, 40/34, 40/36, 42/28, 42/30, 42/32, 42/34, 42/36, 44/28, 44/30, 44/32, 44/34, 44/36, 46/28, 46/30, 46/32, 46/34, 46/36, 48/28, 48/30, 48/32, 48/34, 48/36, 50/28, 50/30, 50/32, 50/34, 50/36, 52/28, 52/30, 52/32, 52/34, 52/36, 54/28, 54/30, 54/32, 54/34, 54/36, 56/28, 56/30, 56/32, 56/34, 56/36, 58/28, 58/30, 58/32, 58/34, 58/36,","Workrite Dual Certified Nomex IIIA Wildfire Tactical PantWORKRITE DUAL CERTIFIED NOMEX IIIA WILDFIRE TACTICAL PANTDual certified to NFPA 1975 and 1977 Wildland, these pants are perfect for the station or on the fireline. Tactical-inspired design delivers the functional storage you need, including two deep, pleated cargo pockets, two front slash pockets and two back welt pockets. Built with a contoured waistband for enhanced comfort, and triple felled seams for durability. Ankle straps allow tightening around boots for a close fit that keeps out debris.PRODUCT SPECSNFPA 1975, NFPA 1977, ASTM F1506 and CAL-OSHA , GISO, Title 8    93% Nomex® IIIA, 5% Kevlar® aramid, 2% antistatic fiberTwo front slash pocketsTwo back welt pocketsTwo deep, pleated cargo pockets with hook and loop closures            Pleated articulated kneesContoured waistbandTriple felled seamsAnkle straps to tighten around boots","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/945/1957/FP62MN1__67992.1662154973.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/945/1958/fp62mn2__24524.1662154975.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/945/1959/fp62mn3__70310.1662154978.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/945/1960/fp62mn4__57201.1662154980.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/945/1961/fp62mn5__08022.1662154982.jpg?c=2, ","dbd1bf94-195e-4dfd-8c83-fce2f4b4bd35.png, 9384a07c-feb7-41d8-966b-7761c7ea0367.png, 8904a61c-9abf-4f5a-a05a-9bc1fd83a60f.png, 92cf19dd-2f09-4e66-8948-e1de50a01242.png, f2138337-1fa4-4eb9-8258-ef5d7800257a.png, ",https://www.fire-etc.com/workrite-dual-certified-nomex-iiia-wildfire-tactical-pant/
PPE,Station Clothing,All American Baseball Hat,$25.00,ALLAM,1.00 LBS,"*Size: L/XL (7 1/8 - UP), S/M (6 7/8 - 7 1/8),","All American Baseball HatThe ""All American"" Baseball Hat is made by Flex Fit, and is done in Black, The logo is done in Red, White and Blue. This Hat is exclusive to our website.","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/577/848/hatfands_full__54455.1378915196.jpg?c=2, ","92738369-1287-40db-a606-f9425a80172f.png, ",https://www.fire-etc.com/allamericanbaseballhat/
PPE,Station Clothing,PMI Uniform Belt with Hook and Loop,$62.00,SG511,1.00 LBS,,"PMI Uniform Belt with Hook and LoopPMI's Uniform Belt is made of 1 3/4"" black webbing with a 7,0000lbs minimum breaking strength. Hook and loop tape to fasten down the free tail of the belt and is available in two size ranges: Standard for 27"" to 40"" (68.5-101cm) waist and Large for 36"" to 56"" (91.5-142cm) waist. Not intended as an emergency harness but as a back up or ""last resort"". Made in the USA.1 3/4"" black webbing with a 7,0000lbs minimum breaking strengthMade in the USA.","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/575/846/sg511_full__88230.1378914110.jpg?c=2, ","6893081d-b51e-44e3-a649-266c1c308731.png, ",https://www.fire-etc.com/SG511/
PPE,Station Clothing,Gear Keeper Retractable Mic Keeper,$16.95,16046,1.00 LBS,,"Gear Keeper Retractable Mic KeeperGear Keeper Retractable Mic Keeper is a lapel mic to securely attach to your Turnout Coat or Pack Strap. Allows Mic to be securely extended for talking/listening, without the Mic being dislodged / dropped or the need to re-clip after use. Mount Gear Keeper on Turnout Coat (mic tab or radio pocket) or Air Pack Harness. Stainless Steel threaded Pin (stud) penetrates Mic Tab, Radio Pocket, or Webbing Harness, threads into back of Gear Keeper. Typically Gear Keeper stays attached except for washing of garment but may be removed at any time. Attach Mic to Gear Keeper lanyard when in route to call. Mic will stay securely attached to Mic Keeper.Nylon Coated Stainless Steel CableStainless Steel Spring and Hardware60 lbs. Breaking Strength400 degree F, V-2 Flame RatingNylon/Elastic Mic Lanyard","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/80/266/16046_full__22424.1376513775.jpg?c=2, ","d237453b-0818-49a2-9b15-627885c56737.png, ",https://www.fire-etc.com/16046/
PPE,Coveralls,Bulwark FRCotton Deluxe Coverall Navy CED2NV REGULAR,$97.00,BULCOV,3.00 LBS,,"Bulwark FRCotton Deluxe Coverall Navy CED2NV REGULAROne-piece, topstitched, lay-flat collarTwo-way concealed Nomex taped brass break-away zipper, concealed snap at top of zipper at neckConcealed snap closure on sleeve cuff Elastic waist insertsTwo front swing pockets are topstitched and linedTwo chest pockets with flaps and concealed snapsTwo patch hip pockets have single concealed snap closureLeft sleeve pocket ¢ Deep-pleated action backSide vent openings with snap closureRule pocket on right legFabric: EXCEL FR® Flame-resistant, 9 oz. Twill 100% Cotton Care: Home Wash and Industrial Wash Protection: Arc Rating ATPV 11.2 calories/cm² We do have TALL sizes available too. Please call for info.","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/598/1342/Bulwark_Coveralls__24660.1439332003.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/598/1975/Publication3__67237.1663861347.jpg?c=2, ","3bca0b50-6a09-4084-9f75-486c15d2458d.png, c9325ed1-904a-4c46-91cb-34832cb77f7f.png, ",https://www.fire-etc.com/bulwark-frcotton-deluxe-coverall-navy-ced2nv-regular/
PPE,Flash Hoods,Majestic Ultra C6 PAC III Hood,$55.00,12695,1.00 LBS,,Majestic Ultra C6 PAC III Hoodtyle: PAC IIIOverall Length:  21”Design Features: Fullest CoverageHood Specifications: Long bib design with shoulder inserts for added shoulder protectionHead Layers of Material: 2                    Outer Material: Ultra C6                    Inner Material: Ultra C6Bib Layers of Material: 2                   Outer Material: Ultra C6                   Inner Material: Ultra C6,"https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/791/1336/Majestic_PAC_III_Ultra_C6__92374.1438114228.jpg?c=2, ","72f0f399-2b1e-4786-808c-805c96e5b463.png, ",https://www.fire-etc.com/majestic-ultra-c6-pac-iii-hood/
PPE,Flash Hoods,Majestic PAC III PBI Hood,$45.00,25098,1.00 LBS,,Majestic PAC III PBI HoodStyle: PAC IIIOverall Length:  21”Design Features: Fullest CoverageHood Specifications: Long bib design with shoulder inserts for added shoulder protectionHead Layers of Material: 2                    Outer Material: PBI                    Inner Material: PBIBib Layers of Material: 2                   Outer Material: PBI                   Inner Material: PBI,"https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/789/1334/Majestic_PAC_III_PBI__82292.1438113523.JPG?c=2, ","883ddaf2-fdf3-4b59-97a5-8e7ad5e5666b.png, ",https://www.fire-etc.com/majestic-pac-iii-pbi-hood/
PPE,Flash Hoods,Fire Dex Double Layer 100% Nomex Hood O/S,$46.00,16845,1.00 LBS,,Fire Dex Double Layer 100% Nomex Hood O/SFire Dex Double Layer 100% Nomex Hood. The H81 Fire Hood is a long seamless bib with notched shoulders and features TrueFit elastic around the face opening for superior comfort. One Size fits all!100% Nomex HoodLong seamless bibNotched shouldersTrueFit elasticOne Size Fits All,"https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/588/1417/Fire-Dex-Double-Layer-100-Nomex-Hood-O-S__20510.1474914403.jpg?c=2, ","e87b412e-539f-4075-b5f3-026ab1cfd9e3.png, ",https://www.fire-etc.com/fire-dex-double-layer-100-nomex-hood-o-s/
PPE,Flash Hoods,Fire-Dex CarbonX Double Layer Hood,$68.00,16116,1.00 LBS,,"Fire-Dex CarbonX Double Layer HoodFire-Dex hoods feature a unique elastic enclosure for easier donning and doffing and a tighter seal around SCBA masks. Flatlock seam construction provides greater comfort and longevity. Fire-Dex Fire Hoods are compliant to NFPA 1971, current edition, unless otherwise noted.7.5 oz. Rib Kit CarbonXLong seamless bib with shoulder notchesTrueFit elasticTTP as Received(20.0 min.) 29.9Char length warp x fill in inches (<4 seconds .4x1.1After Flame in seconds (<2 seconds) 0 x 0Seam Burst Strength 41 lbs. min 329.3 lbs.Compliant to NFPA 1971, Current Edition","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/580/1426/Fire-Dex-CarbonX-Double-Layer-Hood__36207.1474915647.jpg?c=2, ","e2d4a114-b4e1-40cb-8a79-21570e6bafa9.png, ",https://www.fire-etc.com/fire-dex-carbonx-double-layer-hood/
